rank,company,revenue ($ millions),profit ($ millions),Sector
439,Susser Holdings,5831.0,14.0,Consumer Defensive
440,Laboratory Corp. of America,5808.0,574.0,Healthcare
441,Kindred Healthcare,5794.0,-169.0,Healthcare
442,Leidos Holdings,5788.0,164.0,Technology
443,Booz Allen Hamilton Holding,5758.0,219.0,Industrials
444,Jones Financial,5716.0,674.0,Financial Services
445,Cliffs Natural Resources,5691.0,414.0,Basic Materials
446,PulteGroup,5680.0,2620.0,Consumer Cyclical
447,Regions Financial,5665.0,1122.0,Financial Services
448,NiSource,5660.0,532.0,Utilities
449,Graybar Electric,5659.0,81.0,Basic Materials
450,Integrys Energy Group,5636.0,352.0,Energy
451,Clorox,5623.0,572.0,Consumer Defensive
452,Wynn Resorts,5621.0,729.0,Consumer Cyclical
453,Andersons,5605.0,90.0,Consumer Defensive
454,J.B. Hunt Transport Services,5585.0,342.0,Industrials
455,AK Steel Holding,5570.0,-47.0,Basic Materials
456,Harbinger Group,5543.0,-46.0,Financial Services
457,MeadWestvaco,5543.0,839.0,Basic Materials
458,Western Union,5542.0,798.0,Financial Services
459,Charles Schwab,5539.0,1071.0,Financial Services
460,Discovery Communications,5535.0,1075.0,Communication Services
461,Spectra Energy,5518.0,1038.0,Energy
462,St. Jude Medical,5501.0,723.0,Healthcare
463,CF Industries Holdings,5475.0,1465.0,Basic Materials
464,Con-way,5473.0,99.0,Industrials
465,Old Republic International,5443.0,448.0,Financial Services
466,JetBlue Airways,5441.0,168.0,Industrials
467,Calumet Specialty Products,5421.0,4.0,Energy
468,Kelly Services,5413.0,59.0,Industrials
469,Domtar,5391.0,91.0,Basic Materials
470,Murphy Oil,5390.0,1124.0,Energy
471,Harris,5371.0,113.0,Energy
472,Asbury Automotive Group,5339.0,109.0,Consumer Cyclical
473,Big Lots,5302.0,125.0,Consumer Defensive
474,Advanced Micro Devices,5299.0,-83.0,Technology
475,Owens Corning,5295.0,204.0,Industrials
476,Realogy Holdings,5289.0,438.0,Real Estate
477,Host Hotels & Resorts,5270.0,317.0,Real Estate
478,MRC Global,5231.0,152.0,Energy
479,Simon Property Group,5170.0,1320.0,Real Estate
480,Tractor Supply,5165.0,328.0,Consumer Cyclical
481,Gannett,5161.0,389.0,Communication Services
482,Alaska Air Group,5156.0,508.0,Industrials
483,Insight Enterprises,5144.0,71.0,Technology
484,McGraw Hill Financial,5143.0,1376.0,Financial Services
485,Buckeye Partners,5110.0,160.0,Energy
486,Quintiles Transnational Holdings,5100.0,227.0,Healthcare
487,American Financial Group,5092.0,471.0,Financial Services
488,United Stationers,5085.0,123.0,Industrials
489,Coach,5075.0,1034.0,Consumer Cyclical
490,LKQ,5063.0,312.0,Consumer Cyclical
491,Noble Energy,5052.0,978.0,Energy
492,Bemis,5030.0,213.0,Basic Materials
493,Joy Global,5013.0,534.0,Industrials
494,Wyndham Worldwide,5009.0,432.0,Consumer Cyclical
495,NII Holdings,4978.0,-1650.0,Communication Services
496,Lorillard,4972.0,1180.0,Consumer Defensive
497,Alleghany,4972.0,628.0,Financial Services
498,Airgas,4958.0,341.0,Basic Materials
499,First American Financial,4956.0,186.0,Financial Services
500,United Rentals,4955.0,387.0,Industrials
